066;2;1
053;2;1
075;2;1
070;1;1
013;2;1
027;1;1
010;1;1
089;1;1
014;2;1
103;1;1
102;2;1
017;2;1
093;2;1
099;3;1
097;1;1
032;2;1
069;3;1
004;1;2
070;2;2
011;2;2
014;2;2
071;2;2
010;4;2
013;2;2
073;4;2
077;4;2
079;2;2
003;2;2
086;1;2
002;2;2
001;2;2
090;2;2
091;2;2
094;2;2
097;2;2
078;2;2
040;2;2
047;1;2
045;2;2
027;2;2
042;2;2
048;1;2
029;2;2
012;2;2
024;2;2
026;2;2
037;6;2
059;2;2
033;2;2
032;2;2
068;4;2
037;2;3
099;1;3
031;4;3
041;2;3
001;4;3
035;2;3
038;2;3
073;1;3
016;2;3
019;2;3
005;4;3
006;2;3
077;1;3
007;3;3
076;2;3
046;2;3
020;2;3
097;1;3
055;2;3
096;3;4
032;4;4
095;2;4
093;4;4
080;2;4
049;2;4
048;1;4
047;1;4
084;2;4
053;1;4
002;2;4
012;2;4
014;2;4
015;1;4
097;2;4
004;2;4
003;4;4
022;4;4
010;2;4
023;4;4
026;1;4
098;2;4
099;1;4
054;2;5
033;2;5
034;2;5
018;3;5
031;4;5
064;2;5
060;2;5
036;2;5
059;2;5
051;4;5
038;2;5
026;4;5
022;2;5
039;2;5
029;4;5
065;2;5
023;2;5
024;2;5
025;4;5
027;2;5
056;2;5
092;4;5
079;4;5
082;1;5
090;2;5
002;2;5
077;3;5
007;1;5
008;1;5
032;4;5
097;1;5
098;2;5
093;4;5
001;2;6
052;3;6
050;1;6
085;1;6
048;2;6
087;1;6
047;2;6
031;3;6
029;2;6
030;2;6
024;2;6
075;4;6
083;2;6
018;1;6
004;1;6
094;3;6
058;2;6
057;2;6
021;2;6
008;2;6
081;2;6
053;1;6
067;2;6
097;1;7
044;1;7
008;1;7
029;2;7
006;4;7
093;2;7
100;4;7
028;1;7
050;1;7
043;1;7
062;2;7
061;2;7
020;2;7
088;2;7
079;2;7
063;4;7
009;2;7
101;4;7
