091;2;1
076;2;1
032;2;1
072;2;1
083;1;1
027;1;1
025;2;1
024;1;1
034;2;1
023;1;1
089;1;1
070;1;1
031;2;1
001;2;1
082;2;1
006;2;1
061;1;1
014;2;1
002;2;1
056;1;1
010;2;1
007;2;1
004;2;1
066;2;1
048;1;2
047;1;2
044;1;2
071;2;2
032;2;2
055;2;2
061;1;2
035;2;2
058;2;2
043;1;2
004;2;2
095;2;2
031;4;2
090;2;2
096;3;2
021;2;2
025;2;2
040;2;2
079;4;2
001;6;2
050;1;2
020;2;3
003;2;3
041;1;3
042;2;3
011;2;3
045;2;3
012;2;3
039;2;3
029;2;3
018;2;3
037;6;3
036;2;3
022;2;3
023;1;3
026;2;3
031;2;3
017;2;3
052;2;3
069;3;3
056;1;3
054;2;3
053;2;3
097;6;3
094;5;3
075;2;3
098;2;3
050;1;3
093;6;3
099;1;3
092;4;3
084;1;4
012;2;4
024;1;4
023;2;4
029;3;4
010;2;4
094;1;4
020;1;4
075;2;4
093;2;4
005;2;4
051;3;4
006;2;4
061;2;4
049;1;4
060;2;4
088;1;5
016;1;5
048;1;5
027;2;5
099;2;5
089;1;5
024;1;5
014;2;5
091;2;5
002;1;5
013;2;5
026;1;5
077;4;5
030;1;5
070;1;5
032;2;5
086;2;5
047;2;5
038;1;5
003;2;5
010;1;5
029;1;5
097;1;5
046;1;5
013;2;6
010;3;6
094;1;6
003;2;6
016;1;6
006;2;6
005;2;6
014;2;6
029;2;6
049;1;6
047;1;6
051;1;6
046;2;6
038;1;6
077;2;6
020;1;6
027;1;6
084;1;6
024;1;6
023;2;6
066;2;7
090;1;7
048;2;7
089;1;7
002;2;7
022;3;7
088;1;7
052;1;7
097;1;7
099;2;7
030;1;7
065;1;7
013;1;7
032;4;7
070;1;7
024;2;7
015;1;7
086;2;7
077;2;7
027;1;7
039;4;7
026;4;7
085;1;7
037;2;7
